Run_ID,isoniazid,rifampicin,ethambutol,streptomycin,amikacin,capreomycin,kanamycin
ERR3256255,NA,NA,NA,NA,1,1,1
ERR3256256,NA,NA,NA,NA,1,1,1
ERR3256257,NA,0,0,0,0,0,0
ERR3256258,NA,NA,NA,NA,0,0,0
ERR3256259,NA,NA,0,NA,0,NA,0
ERR3256260,0,0,0,NA,0,0,0
ERR3256261,0,0,0,0,0,0,0
ERR3256262,0,0,0,NA,0,0,0
ERR3256263,NA,NA,NA,NA,0,0,0
ERR3256264,NA,NA,0,0,0,0,0
ERR3256265,NA,NA,0,NA,0,0,0
ERR3256266,NA,0,0,0,0,0,0
ERR3256267,1,0,0,0,0,NA,0
ERR3256268,0,0,0,0,0,0,0
ERR3256269,0,0,0,0,0,0,0
ERR3256270,NA,NA,NA,0,0,0,0
ERR3256271,0,0,0,0,0,0,0
ERR3256272,NA,0,0,0,0,0,0
ERR3256273,NA,0,NA,NA,0,NA,0
ERR3256274,0,0,0,0,0,0,0
ERR3256275,0,0,0,0,0,0,0
ERR3256276,0,0,0,0,0,0,0
ERR3256277,NA,0,0,0,0,0,0
ERR3256278,NA,NA,0,NA,0,0,0
ERR3256279,NA,NA,0,0,0,0,0
ERR3256280,NA,NA,0,0,0,0,0
ERR3256281,NA,NA,0,0,0,0,0
ERR3256282,NA,0,0,0,0,0,0
ERR3256283,NA,NA,0,NA,0,0,1
ERR3256284,0,0,0,0,0,0,0
ERR3256285,0,0,0,0,0,0,0
ERR3256286,0,0,NA,0,0,0,0
ERR3256287,NA,0,0,NA,0,NA,0
ERR3256288,0,0,0,0,0,0,0
