sra_accession	strain_name	province	Isoniazid	Rifampicin	Ethambutol	Streptomycin	Kanamycin	Ofloxacin
 SRS797236 	07MDR13168	Fujian	R	R	R	R	S	R
 SRS797297 	07MDR13206	Fujian	R	R	R	R	S	S
 SRS797011 	07MDR13232	Fujian	R	R	S	R	S	S
 SRS797101 	07MDR13242	Fujian	R	R	S	R	S	R
 SRS797408 	07MDR13245	Fujian	R	R	S	S	S	R
 SRS797035 	07MDR14165	Jiangxi	R	R	R	R	S	S
 SRS797339 	07MDR14201	Jiangxi	R	R	R	S	S	R
 SRS796992 	07MDR14226	Jiangxi	R	R	S	R	S	R
 SRS797333 	07MDR14236	Jiangxi	R	R	R	S	S	R
 SRS797162 	07MDR14245	Jiangxi	R	R	R	R	R	R
 SRS797090 	07MDR14257	Jiangxi	R	R	R	S	S	R
 SRS797293 	07MDR14263	Jiangxi	R	R	S	S	S	S
 SRS797370 	07MDR14265	Jiangxi	R	R	R	R	S	S
 SRS797284 	07MDR14268	Jiangxi	R	R	S	R	S	S
 SRS797180 	07MDR14305	Jiangxi	R	R	R	R	S	S
 SRS797178 	07MDR14314	Jiangxi	R	R	R	R	S	S
 SRS797177 	07MDR14315	Jiangxi	R	R	R	S	S	S
 SRS797022 	07MDR14327	Jiangxi	R	R	R	R	S	S
 SRS797442 	07MDR14348	Jiangxi	R	R	R	R	S	S
 SRS797159 	07MDR14349	Jiangxi	R	R	R	S	S	S
 SRS797355 	07MDR15118	Shandong	R	R	R	R	S	S
 SRS797334 	07MDR15126	Shandong	R	R	S	R	S	S
 SRS797065 	07MDR15228	Shandong	R	R	R	S	R	S
 SRS797449 	07MDR15301	Shandong	R	R	R	R	R	R
 SRS797227 	07MDR15327	Shandong	R	R	R	S	S	R
 SRS797268 	07MDR15334	Shandong	R	R	R	R	S	S
 SRS797320 	07MDR15353	Shandong	R	R	R	R	S	S
 SRS797198 	07MDR15401	Shandong	R	R	R	R	S	S
 SRS797110 	07MDR15403	Shandong	R	R	R	R	S	R
 SRS797075 	07MDR15429	Shandong	R	R	R	R	S	S
 SRS797281 	07MDR15447	Shandong	R	R	S	R	S	S
 SRS797149 	07MDR16106	Henan	R	R	S	S	S	S
 SRS797161 	07MDR16109	Henan	R	R	R	R	S	S
 SRS797337 	07MDR16136	Henan	R	R	S	S	S	S
 SRS797147 	07MDR16142	Henan	R	R	S	R	S	S
 SRS797365 	07MDR16151	Henan	R	R	S	S	S	S
 SRS797245 	07MDR16155	Henan	R	R	R	R	S	S
 SRS797045 	07MDR16163	Henan	R	R	S	R	S	S
SRS796972	07MDR16207	Henan	R	R	R	R	S	R
SRS797187	07MDR16242	Henan	R	R	R	S	S	S
SRS797038	07MDR16351	Henan	R	R	R	R	S	S
SRS797189	07MDR16401	Henan	R	R	R	R	R	R
SRS797188	07MDR16412	Henan	R	R	R	R	R	S
SRS796931	07MDR16424	Henan	R	R	S	R	S	S
SRS797080	07MDR16430	Henan	R	R	S	S	S	R
SRS796985	07MDR16466	Henan	R	R	S	R	S	S
SRS796984	07MDR16467	Henan	R	R	S	R	S	S
SRS797302	07MDR16510	Henan	R	R	R	R	S	S
SRS797253	07MDR16513	Henan	R	R	R	S	S	R
SRS796966	07MDR16514	Henan	R	R	R	S	S	S
SRS797153	07MDR16537	Henan	R	R	S	R	S	S
SRS797165	07MDR16543	Henan	R	R	S	S	S	S
SRS797190	07MDR16548	Henan	R	R	S	R	S	S
SRS797271	07MDR17106	Hubei	R	R	R	R	S	S
SRS797050	07MDR17111	Hubei	R	R	S	R	S	S
SRS796981	07MDR17146	Hubei	R	R	S	S	S	S
SRS797386	07MDR17166	Hubei	R	R	S	S	S	S
SRS797278	07MDR17174	Hubei	R	R	R	R	S	S
SRS797039	07MDR17227	Hubei	R	R	R	S	S	S
SRS797012	07MDR17229	Hubei	R	R	S	R	S	S
SRS797046	07MDR17238	Hubei	R	R	S	S	S	S
SRS797298	07MDR17244	Hubei	R	R	R	R	S	S
