sra_accession	strain_name	province	Isoniazid	Rifampicin	Ethambutol	Streptomycin	Kanamycin	Ofloxacin
 SRS797460 	07DS20265	Guangxi	S	S	S	S	S	S
 SRS797185 	07DS21102	Hainan	S	S	S	S	S	S
 SRS797440 	07DS21103	Hainan	S	S	S	S	S	S
 SRS797270 	07DS21106	Hainan	S	S	S	S	S	S
 SRS797006 	07DS22136	Chongqing	S	S	S	S	S	S
 SRS797420 	07DS22168	Chongqing	S	S	S	S	S	S
 SRS797300 	07DS22228	Chongqing	S	S	S	S	S	S
 SRS797327 	07DS22233	Chongqing	S	S	S	S	S	S
 SRS797461 	07DS23110	Sichuan	S	S	S	S	S	S
 SRS797418 	07DS23135	Sichuan	S	S	S	S	S	S
 SRS797262 	07DS23137	Sichuan	S	S	S	S	S	S
 SRS797433 	07DS23152	Sichuan	S	S	S	S	S	S
 SRS796977 	07DS23230	Sichuan	S	S	S	S	S	S
 SRS797456 	07DS23244	Sichuan	S	S	S	S	S	S
 SRS797093 	07DS23339	Sichuan	S	S	S	S	S	S
 SRS797173 	07DS23506	Sichuan	S	S	S	S	S	S
 SRS797139 	07DS24102	Guizhou	S	S	S	S	S	S
 SRS797255 	07DS24152	Guizhou	S	S	S	S	S	S
 SRS796945 	07DS25177	Yunnan	S	S	S	S	S	S
 SRS796978 	07DS26112	Tibet	S	S	S	S	S	S
 SRS797411 	07DS27123	Shaanxi	S	S	S	S	S	S
 SRS797307 	07DS27144	Shaanxi	S	S	S	S	S	S
 SRS797318 	07DS27147	Shaanxi	S	S	S	S	S	S
 SRS796939 	07DS27151	Shaanxi	S	S	S	S	S	S
 SRS797258 	07DS28129	Gansu	S	S	S	S	S	S
 SRS797294 	07DS28157	Gansu	S	S	S	S	S	S
 SRS797092 	07DS29112	Qinghai	S	S	S	S	S	S
 SRS797291 	07DS29129	Qinghai	S	S	S	S	S	S
 SRS797309 	07DS30128	Ningxia	S	S	S	S	S	S
 SRS797422 	07DS30138	Ningxia	S	S	S	S	S	S
 SRS797416 	07DS30139	Ningxia	S	S	S	S	S	S
 SRS797357 	07DS31107	Xinjiang	S	S	S	S	S	S
 SRS797273 	07DS31113	Xinjiang	S	S	S	S	S	S
 SRS796932 	07DS31117	Xinjiang	S	S	S	S	S	S
 SRS797219 	07DS31122	Xinjiang	S	S	S	S	S	S
 SRS796982 	07DS31127	Xinjiang	S	S	S	S	S	S
 SRS797356 	07DS31129	Xinjiang	S	S	S	S	S	S
 SRS796933 	07DS31130	Xinjiang	S	S	S	S	S	S
 SRS796927 	07DS31169	Xinjiang	S	S	S	S	S	S
 SRS797362 	07DS31172	Xinjiang	S	S	S	S	S	S
 SRS797029 	07DS31207	Xinjiang	S	S	S	S	S	S
 SRS797077 	07DS31253	Xinjiang	S	S	S	S	S	S
 SRS796928 	07DS31265	Xinjiang	S	S	S	S	S	S
 SRS797071 	07HR03215	Hebei	R	S	S	S	S	S
 SRS797118 	07HR03340	Hebei	R	S	S	S	S	S
 SRS797048 	07HR04235	Shanxi	R	S	S	S	S	S
 SRS797197 	07HR07113	Jilin	R	S	S	S	S	S
 SRS797256 	07HR08208	Heilongjiang	R	S	S	S	S	S
 SRS797349 	07HR09151	Shanghai	R	S	S	S	S	S
 SRS796937 	07HR09158	Shanghai	R	S	S	S	S	S
 SRS797292 	07HR10110	Jiangsu	R	S	S	S	S	S
 SRS797457 	07HR10231	Jiangsu	R	S	S	S	S	S
 SRS797248 	07HR10242	Jiangsu	R	S	S	S	S	S
 SRS797037 	07HR10248	Jiangsu	R	S	S	S	S	S
 SRS796959 	07HR10255	Jiangsu	R	S	S	S	S	S
 SRS796957 	07HR10257	Jiangsu	R	S	S	S	S	S
 SRS797036 	07HR10368	Jiangsu	R	S	S	S	S	S
 SRS797441 	07HR11252	Zhejiang	R	S	S	S	S	S
 SRS797328 	07HR12143	Anhui	R	S	S	S	S	S
 SRS797062 	07HR12313	Anhui	R	S	S	S	S	S
 SRS797301 	07HR12460	Anhui	R	S	S	S	S	S
 SRS797368 	07HR13127	Fujian	R	S	S	S	S	S
 SRS797229 	07HR13129	Fujian	R	S	S	S	S	S
 SRS797230 	07HR13148	Fujian	R	S	S	S	S	S
 SRS797474 	07HR13233	Fujian	R	S	S	S	S	S
 SRS797426 	07HR13235	Fujian	R	S	S	S	S	S
 SRS797410 	07HR13241	Fujian	R	S	S	S	S	S
 SRS797409 	07HR13254	Fujian	R	S	S	S	S	S
 SRS797021 	07HR14145	Jiangxi	R	S	S	S	S	S
 SRS797205 	07HR15223	Shandong	R	S	S	S	S	S
 SRS797106 	07HR15227	Shandong	R	S	S	S	S	S
 SRS797435 	07HR15310	Shandong	R	S	S	S	S	S
 SRS797353 	07HR15446	Shandong	R	S	S	S	S	S
 SRS797434 	07HR16114	Henan	R	S	S	S	S	S
 SRS797402 	07HR16156	Henan	R	S	S	S	S	S
 SRS797296 	07HR16228	Henan	R	S	S	S	S	S
 SRS797157 	07HR16562	Henan	R	S	S	S	S	S
 SRS797274 	07HR17130	Hubei	R	S	S	S	S	S
 SRS797015 	07HR17353	Hubei	R	S	S	S	S	S
 SRS797033 	07HR17418	Hubei	R	S	S	S	S	S
 SRS797289 	07HR17422	Hubei	R	S	S	S	S	S
 SRS797295 	07HR18107	Hunan	R	S	S	S	S	S
 SRS797023 	07HR18108	Hunan	R	S	S	S	S	S
 SRS797389 	07HR18162	Hunan	R	S	S	S	S	S
 SRS796979 	07HR18228	Hunan	R	S	S	S	S	S
 SRS797450 	07HR18551	Hunan	R	S	S	S	S	S
 SRS796944 	07HR19115	Guangdong	R	S	S	S	S	S
 SRS797423 	07HR19145	Guangdong	R	S	S	S	S	S
 SRS797346 	07HR19314	Guangdong	R	S	S	S	S	S
 SRS797321 	07HR20119	Guangxi	R	S	S	S	S	S
 SRS797008 	07HR23164	Sichuan	R	S	S	S	S	S
 SRS797138 	07HR23231	Sichuan	R	S	S	S	S	S
 SRS797427 	07HR23250	Sichuan	R	S	S	S	S	S
 SRS797019 	07HR23505	Sichuan	R	S	S	S	S	S
 SRS797414 	07HR23539	Sichuan	R	S	S	S	S	S
 SRS797364 	07HR24165	Guizhou	R	S	S	S	S	S
 SRS797360 	07HR24178	Guizhou	R	S	S	S	S	S
 SRS797377 	07HR24235	Guizhou	R	S	S	S	S	S
 SRS797401 	07HR24240	Guizhou	R	S	S	S	S	S
 SRS797211 	07HR28127	Gansu	R	S	S	S	S	S
 SRS797133 	07HR28150	Gansu	R	S	S	S	S	S
 SRS797004 	07HR30105	Ningxia	R	S	S	S	S	S
 SRS796996 	07HR31219	Xinjiang	R	S	S	S	S	S
 SRS797082 	07HR31258	Xinjiang	R	S	S	S	S	S
 SRS796971 	07MDR01106	Beijing	R	R	R	R	S	R
 SRS797113 	07MDR01124	Beijing	R	R	S	R	S	S
 SRS797124 	07MDR01135	Beijing	R	R	R	R	S	S
 SRS797044 	07MDR02115	Tianjin	R	R	R	R	S	S
 SRS797467 	07MDR02189	Tianjin	R	R	S	R	S	S
 SRS797243 	07MDR03105	Hebei	R	R	R	R	S	S
 SRS797081 	07MDR03112	Hebei	R	R	S	R	S	S
 SRS797010 	07MDR03118	Hebei	R	R	R	R	R	S
 SRS797244 	07MDR03155	Hebei	R	R	S	R	S	S
 SRS797047 	07MDR03208	Hebei	R	R	S	R	S	S
 SRS797083 	07MDR03240	Hebei	R	R	S	R	S	S
 SRS797166 	07MDR03292	Hebei	R	R	S	R	S	S
 SRS796997 	07MDR03293	Hebei	R	R	S	R	R	S
 SRS796936 	07MDR03311	Hebei	R	R	R	S	S	S
 SRS797150 	07MDR03332	Hebei	R	R	S	S	S	S
 SRS797279 	07MDR03338	Hebei	R	R	S	R	S	S
 SRS796946 	07MDR03349	Hebei	R	R	S	R	R	R
 SRS797192 	07MDR03350	Hebei	R	R	R	R	S	S
 SRS797194 	07MDR03352	Hebei	R	R	S	R	S	S
 SRS797073 	07MDR03364	Hebei	R	R	R	S	S	S
 SRS797312 	07MDR04112	Shanxi	R	R	S	R	S	R
 SRS797054 	07MDR04113	Shanxi	R	R	R	R	S	R
 SRS797026 	07MDR04116	Shanxi	R	R	S	R	S	R
 SRS797056 	07MDR04117	Shanxi	R	R	R	S	S	R
 SRS797388 	07MDR04128	Shanxi	R	R	R	R	S	R
 SRS797055 	07MDR04129	Shanxi	R	R	S	R	S	R
 SRS797136 	07MDR04142	Shanxi	R	R	R	R	R	S
 SRS797313 	07MDR04145	Shanxi	R	R	R	R	R	R
 SRS797390 	07MDR04146	Shanxi	R	R	R	S	S	R
 SRS797315 	07MDR04147	Shanxi	R	R	R	R	R	R
 SRS797314 	07MDR04148	Shanxi	R	R	R	R	S	R
 SRS797135 	07MDR04149	Shanxi	R	R	S	R	R	S
 SRS797053 	07MDR04152	Shanxi	R	R	R	R	S	R
 SRS797316 	07MDR04160	Shanxi	R	R	R	R	R	R
 SRS797112 	07MDR04164	Shanxi	R	R	S	R	S	S
 SRS797317 	07MDR04202	Shanxi	R	R	R	R	R	R
 SRS796958 	07MDR04203	Shanxi	R	R	R	R	S	S
 SRS797347 	07MDR04205	Shanxi	R	R	R	R	S	S
