Isolate	AMIKACIN	AMOXICILLIN	CAPREOMYCIN	CIPROFLOXACIN	CYCLOSERINE	ETHAMBUTOL	ETHIONAMIDE	ISONIAZID	KANAMYCIN	MOXIFLOXACIN	OFLOXACIN	PARA_AMINOSALICYLIC_ACID	PROTHIONAMIDE	PYRAZINAMIDE	RIFAMPICIN	STREPTOMYCIN
SAMEA1397468						S		R						S	S	
SAMEA1397469						S		S						S	S	
SAMEA1397471						S		S						S	S	
SAMEA1397472						S		S						S	S	
SAMEA1397473						S		S							S	
SAMEA1397474						S		S						S	S	
SAMEA1397475						S		S						S	S	
SAMEA1397476						S		S						S	S	
SAMEA1397477						S		S						S	S	
SAMEA1397478						S		S						S	S	
SAMEA1397479						R		R						S	S	
SAMEA1397480						S		S						S	S	
SAMEA1397481						S		S							S	
SAMEA1397482						S		S						S	S	
SAMEA1397483						S		S						S	S	
SAMEA1397484						S		S						S	S	
SAMEA1397485						S		S						S	S	
SAMEA1397486						S		S						S	S	
SAMEA1397487						S		S						S	S	
SAMEA1397488						S		S						S	S	
SAMEA1397489						S		S						S	S	
SAMEA1397490						S		S						S	S	
SAMEA1397491						S		S						S	S	
SAMEA1397492						S		S						S	S	
SAMEA1397493						S		S						S	S	
SAMEA1397494						S		S						S	S	
SAMEA1397495						S		S						S	S	
SAMEA1397496						S		S						S	S	
SAMEA1397497						S		S						S	S	
SAMEA1397498						S		S						S	S	
SAMEA1397499														S		
SAMEA1397500						S		S						S	S	
SAMEA1397501						S		S						R	S	
SAMEA1397502						S		S						S	S	
SAMEA1397503						S		S						S	S	
SAMEA1397504						S		S						S	S	
SAMEA1397505						S		S						S	S	
SAMEA1397506						S		S						S	S	
SAMEA1397507						S		S						S	S	
SAMEA1397508						S		S						S	S	
SAMEA1397509						S		R						S	S	
SAMEA1397510						S		S						S	S	
SAMEA1397511						S		S						S	S	
SAMEA1397512						S		S						S	S	
SAMEA1397513						S		S						S	S	
SAMEA1397514						S		S						S	S	
SAMEA1397515						S		S						S	S	
SAMEA1397516						S		S						S	S	
SAMEA1397517						S		S						S	S	
SAMEA1397518						S		S						S	S	
SAMEA1397519						S		S						S	S	
SAMEA1397520								S							S	
SAMEA1397521						S		S						R	S	
SAMEA1397522						S		S						S	S	
SAMEA1397523						S		S						S	S	
SAMEA1397524						S		S						S	S	
SAMEA1403548						R		R						S	R	
SAMEA1403549						S		S						S	S	
SAMEA1403550						S		R						S	R	
SAMEA1403552						S		R						S	R	
SAMEA1403553						S		R						S	R	
SAMEA1403555						S		R						R	R	
SAMEA1403556						S		S						S	S	
SAMEA1403557						S		R						S	S	
SAMEA1403558						S		R						S	R	
SAMEA1403559						S		R						S	S	
SAMEA1403561						S		S						S	S	
SAMEA1403565						S		S						S	S	
SAMEA1403566						R		R						S	R	
SAMEA1403567						S		R						S	R	
SAMEA1403568						S		R						R	R	
SAMEA1403570						S		R						S	R	
SAMEA1403571						S		R						S	R	
SAMEA1403572						S		S						S	S	
SAMEA1403573						S		R						S	S	
SAMEA1403574						R		R						R	R	
SAMEA1403575						R		R						S	R	
SAMEA1403576						R		R						S	S	
SAMEA1403577						S		S						S	S	
SAMEA1403578						S		R						S	S	
SAMEA1403579						S		R						S	R	
SAMEA1403580						S		R						R	S	
SAMEA1403581						R		R						S	S	
SAMEA1403582						S		S						S	S	
SAMEA1403583						S		S						S	S	
SAMEA1403584						S								S	S	
SAMEA1403585						S		R						S	R	
SAMEA1403586						S		S						S	S	
SAMEA1403587						S		S						S	S	
SAMEA1403588						S		S						S	S	
SAMEA1403589						S		R						S	S	
SAMEA1403592						S		S						S	S	
SAMEA1403593						R		R						S	R	
SAMEA1403594						S		S						S	S	
SAMEA1403595						S		S						S	S	
SAMEA1403596						S		R						S	S	
SAMEA1403597						S		S						S	S	
SAMEA1403598						S		R						S	S	
SAMEA1403599						S		S						S	S	
SAMEA1403600						S		S						S	S	
SAMEA1403602						S		R						S	R	
SAMEA1403603						S		S						S	S	
SAMEA1403604						S		S						S	S	
SAMEA1403605						R		R						S	R	
SAMEA1403607						S		R						S	R	
SAMEA1403608						S		S						S	S	
SAMEA1403610						S		S						S	S	
SAMEA1403612						S		S						S	S	
SAMEA1403613						S		R						S	S	
SAMEA1403614						R		R						S	R	
SAMEA1403617						R		R						S	R	
SAMEA1403618						S		S						S	S	
SAMEA1403620						S		R						S	S	
SAMEA1403621						S		S						S	S	
SAMEA1403622						S		S						S	S	
SAMEA1403623						R		R						R	R	
SAMEA1403626						S		S						S	S	
SAMEA1403627						R		R						S	R	
SAMEA1403628														S		
SAMEA1403630						S		S						S	S	
SAMEA1403631						S		S						S	S	
SAMEA1403632						S		R						S	S	
SAMEA1403633						S		S						S	S	
SAMEA1403635						S		S						R	S	
SAMEA1403636						S		R						S	R	
SAMEA1403639						S		S						S	S	
SAMEA1403640						S		R						R	R	
SAMEA1403641						S		R						R	R	
SAMEA1403642						S		S						S	S	
SAMEA1403643						S		S						S	S	
SAMEA1403644						R		R						R	R	
SAMEA1403645						S		R						S	S	
SAMEA1403647						S		S						S	S	
SAMEA1403648						R		R						R	R	
SAMEA1403649						S		R						S	S	
SAMEA1403651						S		R						S	S	
SAMEA1403652						S		S						S	S	
SAMEA1403653						S		R						S	S	
SAMEA1403654						R		R						S	R	
SAMEA1403655						S		R						S	S	
SAMEA1403656						R		R						R	R	
SAMEA1403657						S		R						S	R	
SAMEA1403658						R		R						S	R	
SAMEA1403660						S		S						S	S	
SAMEA1403664						S		S						S	S	
SAMEA1403666						S		R						S	S	
SAMEA1403667						S		S						S	S	
SAMEA1403668						S		S						S	S	
SAMEA1403669						S		R						S	R	
SAMEA1403670						R		R						S	R	
SAMEA1403671						S		S						S	S	
SAMEA1403672						R		R						R	R	
SAMEA1403673						R		R						S	R	
SAMEA1403675						S		S						S	S	
SAMEA1403676						S		R						S	R	
SAMEA1403677						S		S						S	S	
SAMEA1403678						S		R						S	R	
SAMEA1403679						S		S						R	S	
SAMEA1403681						R		R						R	R	
SAMEA1403682						S		S						S	S	
SAMEA1403684						S								S		
SAMEA1403685						R		R						R	R	
SAMEA1403686						S		R						S	R	
SAMEA1403687						S		R						S	R	
SAMEA1403688						R		R						R	R	
SAMEA1403689						S		R						S	R	
SAMEA1403690						R		R						S	R	
SAMEA1403691						S		R						S	R	
SAMEA1403693						R		R						S	R	
SAMEA1403694						S		R						R	S	
SAMEA1403697						R		R						S	R	
SAMEA1403698						R		R						R	R	
SAMEA1403699						R		R						S	R	
SAMEA1403700						R		R						S	R	
SAMEA1403701						S		S						S	R	
SAMEA1403702						S		S						S	S	
SAMEA1403703						R		R						S	R	
SAMEA1403704						S		S						S	S	
SAMEA1403706						S		S						S	S	
SAMEA1403707						S		R						S	R	
SAMEA1403708						S		R						S	R	
SAMEA1403709						S		R						S	R	
SAMEA1403710						S		S						S	S	
SAMEA1403712						S		R						S	S	
SAMEA1403713						S		S						S	R	
SAMEA1403714						S		R						S	S	
SAMEA1403716						R		R						S	R	
SAMEA1403717						S		R						S	R	
SAMEA1403718						S		R						S	R	
SAMEA1403719						S		R						S	S	
SAMEA1403720						R		R						S	S	
SAMEA1403721						S		S						S	S	S
SAMEA1403722						R		R						S	S	
SAMEA1403723						S		S						S	S	
SAMEA1403725						S		S						S	S	
SAMEA1403726						S								S	S	S
SAMEA1403727						S		R						R	R	
SAMEA1403728						S		S						S	S	
SAMEA1403731						S		S						S	S	
SAMEA1403732						R		R						R	R	
SAMEA1403734						S		S						S	S	
SAMEA1403735						S		S						S	R	
SAMEA1403736						R		R						R	R	
SAMEA1403737						S		S						S	S	
SAMEA1403738						R		R						S	R	
SAMEA1403739						S		S						S	S	
SAMEA1403740						R		R						R	R	
SAMEA1403741						S		R						S	R	
SAMEA1403743						S		S						S	S	S
SAMEA1403744						S		R						S	S	
SAMEA1403746						S		S						S	S	
SAMEA1403747						S		S							S	S
SAMEA1403748						S		R						S	S	
SAMEA1403749						S		R						S	R	
SAMEA1403750						S								S		S
SAMEA1403752						S								S		S
SAMEA1403753						S								S		S
SAMEA1403756						R		R						S	R	
SAMEA1403757						S		R						S	R	
SAMEA1403758						R		R						S	R	
SAMEA1403759						R		R						S	R	
SAMEA1403761						S		S						S	S	S
SAMEA1403762						S		S						S	S	
SAMEA1403763														S		S
SAMEA1403764						R		R						R	R	
SAMEA1403765						R		R						R	R	
SAMEA1403766						S		R						S	S	
SAMEA1403768						S		S						S	S	
SAMEA1403769						S								R		S
SAMEA1403771						S		R						S	R	
SAMEA1403773						S		S							S	S
SAMEA1403774						R		R						R	R	S
SAMEA1403775						S		S						R	S	
SAMEA1403776						S		R						R	R	
SAMEA1403777						S		S						S	S	
SAMEA1403779						S		R						S	R	
SAMEA1403781						S		R						S	R	
SAMEA1403782						S		S						S	S	
SAMEA1403783														R		S
SAMEA1403784						S		R						R	R	
SAMEA1403785														R	S	S
SAMEA1403786						R		R						S	R	
SAMEA1403787						S								S	S	S
SAMEA1403790														S		
SAMEA1403791						R		R						R	R	
SAMEA1403792						R		R						S	R	
SAMEA1403793						S								S	S	S
SAMEA1403795						S		S						S	S	
SAMEA1403796						S		S						S	S	S
SAMEA1403797						S		S						S	S	
SAMEA1403798						S		R						S	R	
SAMEA1403799						S								R	S	S
SAMEA1403800						S		S						S	S	
SAMEA1403803						S		R						S	R	
SAMEA1403805						R		R						R	R	
SAMEA1403806						S								S	S	S
SAMEA1403807						S								S		S
SAMEA1403808						S		R						S	S	
SAMEA1403810						S		R						S	R	
SAMEA1403811						S		S						S	R	
SAMEA1403812						S		R						S		S
SAMEA1403813						S		S						S	S	
SAMEA1403814						S		R						R	S	
SAMEA1403815						S		R						R	R	
SAMEA1403816						S		S						S	S	S
SAMEA1403817						S		R						R	S	
SAMEA1403818						S		S						S	S	
SAMEA1403819						S		R						R	R	
SAMEA1403821								R						S		R
SAMEA1403822						S		R						S	R	
SAMEA1403823						R		R						R	R	
SAMEA1403825						S		S						S	S	
SAMEA1403826						S		S						S	S	S
SAMEA1403827						R		R						R	R	
SAMEA1403828						S		S							S	S
SAMEA1403830						S		R						S	S	
SAMEA1403832						S		S						S	R	
SAMEA1403833						S								S		S
SAMEA1403834						S		R						S	R	
SAMEA1403835						S								S		S
SAMEA1403836						S		S						S	S	
SAMEA1403837						S								S	S	S
SAMEA1403838						S		R						S	S	
SAMEA1403841						S								S	S	R
SAMEA1403842						S								S		S
SAMEA1403843						S		S						S	S	
SAMEA1403847						R		R						S	R	
SAMEA1403848						R		R						S	R	
SAMEA1403849						S		R						S	S	
SAMEA1403850						S		R						S	S	
SAMEA1403851						S		S						S	S	
SAMEA1403852														R		S
SAMEA1403853						S		S						S	S	
SAMEA1403854						S		R						S	S	
SAMEA1403855						R		R						S	S	
SAMEA1403856						R		R						S	R	
SAMEA1403857						R		S						S	S	
SAMEA1403858						S								S	S	
SAMEA1403859														R	S	
SAMEA1403860						S		S						S	S	
SAMEA1403861																S
SAMEA1403862						S		S						S	S	
SAMEA1403863						S		S						S	S	S
SAMEA1403864						S		S							S	S
SAMEA1403865								R								R
SAMEA1403866						S		S							S	S
SAMEA1403868						S		S						S	S	
SAMEA1403869														R		S
SAMEA1403871						R		R						S	R	
SAMEA1403872						S		R						S	S	
SAMEA1403873														S		S
SAMEA1403874						S		R						R	R	
SAMEA1403877						S		R						S	R	
SAMEA1403878						S		S							S	S
SAMEA1403879						S		R						S	S	
SAMEA1403880														S		
SAMEA1403882						S		R						S	S	
SAMEA1403883						S		S						S	S	S
SAMEA1403884						R		R						R	R	
SAMEA1403885						S		S						S	S	
SAMEA1403887						S		S						S	S	
SAMEA1403888						S								S	S	
SAMEA1403890						S		S						S	S	
SAMEA1403891						R		R						R	R	
SAMEA1403892						R		R						R	R	
SAMEA1403893						S		R						S	R	
SAMEA1403894						S		S						S	S	
SAMEA1403895						S		S						S	S	S
SAMEA1403896						S								R		S
SAMEA1403897						S		S						S	S	S
SAMEA1403898						R		R						R	R	R
SAMEA1403899						S		S						S	S	
SAMEA1403900						S		S						S	S	
SAMEA1403901						S		S						S	S	
SAMEA1403902						S		S						S	S	
SAMEA1403903						S		R						S	R	
SAMEA1403904						R		R						R	R	
SAMEA1403906						S		R						R	R	
SAMEA1403907						S		S						S	S	
SAMEA1403908						S		S						S	S	
SAMEA1403910						S		S						S	S	
SAMEA1403911						S		S						S	S	
SAMEA1403912						R		S						S	S	
SAMEA1403913						R		S						S	S	
SAMEA1403914						S		R						S	S	
SAMEA1403915						R		R						S		
SAMEA1403916						S		R						S	S	
SAMEA1403917															S	
SAMEA1403918						R		R						R	R	
SAMEA1403920						S		R						S	R	
SAMEA1403921						S		S						S	S	
SAMEA1403922						S		R						R	R	
SAMEA1403923						S		R						S	S	
SAMEA1403924															S	
SAMEA1403925						S		S						S	S	
SAMEA1403927						S		R						S	R	
SAMEA1403928						S		S						S	S	
SAMEA1403929														S		
SAMEA1403930						S		S						S	S	
SAMEA1403932						R		R						R	S	
SAMEA1403933						S		R						R		
SAMEA1403935						S		R						S	R	
SAMEA1403936						S		R						S	R	
SAMEA1403937						S		R						S		
SAMEA1403938														R		
SAMEA1403939						S		R						S	S	
SAMEA1403940								S								
SAMEA1403941						R		R						S	S	
SAMEA1403942						R		R						R	R	
SAMEA1403943						S		S						S	S	
SAMEA1403948						S		S						S	S	
SAMEA1403949						R		S						S	S	
SAMEA1403950						S		R						S	S	
SAMEA1403951						S		R						R	R	
SAMEA1403952						S		S						S	S	
SAMEA1403954						S		S						S	S	
SAMEA1403956						R		R						S	R	
SAMEA1403957						S		S						S	S	
SAMEA1403958						S		R						S	S	
SAMEA1403959						S		S						S	S	
SAMEA1403960						S		S						S	S	
SAMEA1403961						R		R						R	R	
SAMEA1403962						R		R						S	R	
SAMEA1403963						S		S						S	S	
SAMEA1403964						S		S						S	S	
SAMEA1403965						S		R						S	R	
SAMEA1403968						S		S						S	S	
SAMEA1403969						S		S						S	S	
SAMEA1403972						R		R						S	R	
SAMEA1403974						S		S						S	S	
SAMEA1403975						S		S						S	S	
SAMEA1403976						S		S						S	S	
SAMEA1403978						S		R						S	R	
SAMEA1403979						R		R							R	
SAMEA1403981						S		R						S	R	
SAMEA1403982						S								R		
SAMEA1403983						S		R						S	R	
SAMEA1403984						S		R						R	R	
SAMEA1403985						S		R						S	S	
SAMEA1403986														R		
SAMEA1403987						S		R						S	S	
SAMEA1403988						R		R						S	R	
SAMEA1403989						S		S						S	S	
SAMEA1403990						S		R						S	S	
SAMEA1403991						S		S						S	S	
SAMEA1403992						S		S						S	S	
SAMEA1403993						S		S						R	R	
SAMEA1403998						S								R	S	
SAMEA1403999						R		R						S	R	
SAMEA1404002						S		S						S	S	
SAMEA1404003						S		R						S	R	
SAMEA1404004						R		R						S	R	
SAMEA1404005						S		S						S	S	
SAMEA1404006						S		R						R	R	
SAMEA1404007						S		R						S	S	
SAMEA1404008						S		S						S	S	
SAMEA1404009						S		S						S	S	
SAMEA1404010						S		R						S	R	
SAMEA1404011						S		R						S	R	
SAMEA1404012						S		R						R	R	
SAMEA1404014						R		R						R	R	
SAMEA1404015						S		R						S	R	
SAMEA1404016						S		R						S	S	
SAMEA1404018						S		S						S	S	
SAMEA1404020						S		S						S	S	
SAMEA1404021						R		R						S	R	
SAMEA1404022						R		R						R	R	
SAMEA1404023						S		S						S	S	
SAMEA1404024						S		S						S	S	
SAMEA1404025						S		R						S	R	
SAMEA1404026						R		R						S	R	
SAMEA1404028						S		S						S	S	
SAMEA1404029						S		S						S	R	
SAMEA1404030						S		S						S	S	
SAMEA1404032						S		S						S	S	
SAMEA1404033						S		S						S	R	
SAMEA1404035						R		R						S	R	
SAMEA1404036						S		R						S	R	
SAMEA1404038						S		S						S	S	
SAMEA1404040						S		S						S	S	
SAMEA1404041						S		S						S	S	
SAMEA1404042						S		S						S	S	
SAMEA1404043						S		S						S	S	
SAMEA1404044						R		R						S	R	
SAMEA1404045						S		S						S	S	
SAMEA1404047						S		R						S	S	
SAMEA1404048						S		S						S	S	
SAMEA1469485						S		S						S	S	
SAMEA1469487						R		R						S	R	
SAMEA1469488						S		S						S	S	
SAMEA1469490						S		R						S	R	
SAMEA1469492						R		S						S	S	
SAMEA1469493						S		R						R	R	
SAMEA1469494						R		R						S	R	
SAMEA1469495						S		S						S	S	
SAMEA1469497						R		R						R	R	
SAMEA1469498						S		S						S	R	
SAMEA1469500						S		R						R	R	
SAMEA1469502						R		R						S	R	
SAMEA1469503						R		R						S	R	
SAMEA1469506						R		R						S	R	
SAMEA1469510						R		R						R	R	
SAMEA1469513						S		S						R	S	
SAMEA1469514						R		R						S	R	
SAMEA1469515						R		R						S	S	
SAMEA1469516						R		R						R	R	
SAMEA1469524						S		R						S	R	
SAMEA1469526						S		R						S	R	
SAMEA1469528						S		R						S	R	
SAMEA1469532						S		R						S	R	
SAMEA1705617						S		S						S	R	
SAMEA1705619						S		S						S	S	
SAMEA1705620						R		R						R	R	
SAMEA1705621						S		S						S	S	
SAMEA1705622						S		S						S	S	
SAMEA1705623						S		S						S	S	
SAMEA1705642						S		S						S	S	
SAMEA1705643						S		S						S	S	
SAMEA1706687						S		S						S	S	
SAMEA1707114						S		R						S	R	
SAMEA1707117						R		R						R	R	
SAMEA1707120						R		R						S	R	
SAMEA1707121						S		S						S	S	
SAMEA1707125						R		R						R	R	
SAMEA1707126						R		R						S	R	
SAMEA1707128						S		R						R	R	
SAMEA1707130						S		S						S	S	
SAMEA1707135						S		S						S	S	
SAMEA1707137						R		R						S	S	
SAMEA1707141						S		R						S	S	
SAMEA1707144						S		S						S	S	
SAMEA1707145						R		R						S	R	
SAMEA1707146						R		R						S	R	
SAMEA1707147						S		R						S	S	
SAMEA1707148						S		R						S	R	
SAMEA1707149						R		R						S	R	
SAMEA1707150						R		R						R	R	
SAMEA1707151						S		S						S	S	
SAMEA1707152						S		S						R	S	
SAMEA1707153						S		R						R	R	
SAMEA1707154						S		S						S	S	
SAMEA1707156						S		S						R	S	
SAMEA1707157						R		R						S	R	
SAMEA1707159						S		R						R	R	
SAMEA1707160						S		R						R	R	
SAMEA1707162						S		S						S	S	
SAMEA1707163						R		R						R	R	
SAMEA1707165						S		S						S	S	
SAMEA1707166						S		R						S	S	
SAMEA1707167						S		S						R	S	
SAMEA1707169						S		S						S	S	
SAMEA1707170						S		S						S	S	
SAMEA1707171						R		R						R	S	
SAMEA1707175						S		R						S	R	
SAMEA1707176						R		R						S	R	
SAMEA1707179						R		R						R	R	
SAMEA1707180						S		R						R	R	
SAMEA1707182						S		R						S	S	
SAMEA1707183						S		R						S	R	
SAMEA1707184						S		R						S	R	
SAMEA1707187						S		R						R	R	
SAMEA1707189						S		S						S	S	
SAMEA1707191						S		R						S	R	
SAMEA1707192						R		R						R	R	
SAMEA1707194						S		R						S	R	
SAMEA1707196						S		R						R	R	
SAMEA1707197						S		R						S	R	
SAMEA1707198						S		R						S	R	
SAMEA1707199						S		S						S	S	
SAMEA1707200						S		S						S	S	
SAMEA1707202						R		R						S	R	
SAMEA1707203						S		S						S	S	
SAMEA1707205						R		R						R	R	
SAMEA1707206						S		S						S	S	
SAMEA1707208						S		S						S	S	
SAMEA1707210						S		R						S	R	
SAMEA1707213						S		R						S	R	
SAMEA1707217						S		S						S	S	
SAMEA1707218						S		R						S	S	
SAMEA1707221						S		S						R	S	
SAMEA1707223						R		R						S	R	
SAMEA1707225						R		R						R	R	
SAMEA1707229						S		S						S	S	
SAMEA1707231						S		S						S	S	
SAMEA1707233						S		S						S	S	
SAMEA1707234						R		R						S	R	
SAMEA1707235						R		R						R	R	
SAMEA1707239						S		S						S	S	
SAMEA1707240						S		S						S	S	
SAMEA1707242						R		R						R	R	
SAMEA1707244						R		R						S	R	
SAMEA1707246						S		S						S	S	
SAMEA1707250						S		S						S	S	
SAMEA1707252						R		R						R	R	
SAMEA1707253						R		R						R	R	
SAMEA1707257						S		S						S	S	
SAMEA1707258						S		R						S	R	
SAMEA1707261						R		R						S	R	
SAMEA1707263						S		R						S	S	
SAMEA1707264						S		S						S	S	
SAMEA1707266						S		S						S	S	
SAMEA1707267						S		R						S	S	
SAMEA1707269						R		R						R	S	
SAMEA1707270						R		R						S	R	
SAMEA1707271						R		R						S	R	
SAMEA1707272						S		S						S	S	
SAMEA1707274						S		S						S	S	
SAMEA1707275						R		R						S	R	
SAMEA1707277						S		S						S	S	
SAMEA1707278						R		R						S	R	
SAMEA1707279						R		R						S	R	
SAMEA1707280						S		S						S	S	
SAMEA1707282						R		R						R	R	
SAMEA1707284						S								S	R	
SAMEA1707286						S		R						R	S	
SAMEA1707287						R		R						S	R	
SAMEA1707288						S		S						S	R	
SAMEA1707290						S		R						S	R	
SAMEA1707291						S		S						S	S	
SAMEA1707293						S		S						S	S	
SAMEA1707295						R		R						R	R	
SAMEA1707298						R		R						S	R	
SAMEA1707299						R		R						S	R	
SAMEA1707300						S		R						S	R	
SAMEA1707302						S		S						S	S	
SAMEA1707304						S		S						S	S	
SAMEA1707305						S		R						R	R	
SAMEA1707308						S		S						S	S	
SAMEA1707310						S		R						S	S	
SAMEA1707311						S		S						S	S	
SAMEA1707312						S		S						S	S	
SAMEA1707313						S		S						S	S	
SAMEA1707315						S		R						S	R	
SAMEA1707316						R		R						R	R	
SAMEA1707317						S		R						S	R	
SAMEA1707318						S		R						S	R	
SAMEA1707320						R		R						S	R	
SAMEA1707327						S		R						S	R	
SAMEA1707329						R		R						R	R	
SAMEA1707331						S		S						S	S	
SAMEA1707332						S		S						S	S	
SAMEA1707334						R		R						S	R	
SAMEA1707337						R		R						S	S	
SAMEA1707338						S		S						S	S	
SAMEA1707339						S		R						S	R	
SAMEA1707340						S		R						S	S	
SAMEA1707342						S		S						S	S	
SAMEA1707347						S		S						S	S	
SAMEA1707348						R		R						R	R	
SAMEA1707351						S		R						R	R	
SAMEA1707352						S		R						S	R	
SAMEA1707353						S		S						S	S	
SAMEA1707355						R		R						S	R	
SAMEA1707356						S		R						S	R	
SAMEA1707358						S		R						S	R	
SAMEA1707360						S		S						S	S	
SAMEA1707361						R		S						S	R	
SAMEA1707362						R		R						R	S	
SAMEA1707364						S		S						S	S	
SAMEA1707366						S		S						S	S	
SAMEA1707370						S		S						S	S	
SAMEA1707373						R		R						S	R	
SAMEA1707377						S		R						S	R	
SAMEA1707379						S		S						S	S	
SAMEA1707380						S		S						S	S	
SAMEA1707383						R		R						S	R	
SAMEA1707384						S		R						S	S	
SAMEA1707385						S		R						S	R	
SAMEA1707387						R		R						S	R	
SAMEA1707388						S		R						S	R	
SAMEA1707393						R		S						S	R	
SAMEA1707394						S		R						S	R	
SAMEA1707396						S		S						S	S	
SAMEA1707397						S		S						R	S	
SAMEA1707398						S		R						S	S	
SAMEA1707399						R		R						S	S	
SAMEA1707401						S		S						S	S	
SAMEA1707402						R		R						S	R	
SAMEA1707403						S		S						S	S	
SAMEA1707406						S		S						R	S	
SAMEA1707407						S		S						S	S	
SAMEA1707408						S		R						S	S	
SAMEA1707410						S		R						S	R	
SAMEA1707413						S		R						S	S	
SAMEA1707414						S		R						S	S	
SAMEA1707415						S		S						S	S	
SAMEA1707418						S		S						S	S	
SAMEA1707422						R		R						S	R	
SAMEA1707424						R		R						R	R	
SAMEA1707425						S		R						S	R	
SAMEA1707426						R		R						R	R	
SAMEA1707427						S		R						S	R	
SAMEA1707431						S		S						S	S	
SAMEA1707433						S		S						S	S	
SAMEA1707434						S		S						S	S	
SAMEA1707435						R		R						S	R	
SAMEA1707438						S		R						S	R	
SAMEA1707440						S		S						S	S	
SAMEA1707442						S		S						S	S	
SAMEA1707446						R		R						R	R	
SAMEA1707448						S		S						S	S	
SAMEA1707450						R		R						R	R	
SAMEA1707451						S		S						S	S	
SAMEA1707452						S		R						S	R	
SAMEA1707455						S		S						S	S	
SAMEA1707458						S		S						S	S	
SAMEA1707460						R		R						S	R	
SAMEA1707464						S		R						S	S	
SAMEA1707466						S		R						S	R	
SAMEA1707467						R		S						S	R	
SAMEA1707468						R		R						S	R	
SAMEA1707470						S		S						S	S	
SAMEA1707471						R		R						S	R	
SAMEA1707475						S		R						S	R	
SAMEA1707477						R		R						S	R	
SAMEA1707478						S		S						S	S	
SAMEA1707479						S		S						S	S	
SAMEA1707480						S		S						S	S	
SAMEA1707482						S		R						S	S	
SAMEA1707484						S		R						S	S	
SAMEA1707486						S		R						R	R	
SAMEA1707487						S		R						S	S	
SAMEA1707488						R		R						R	R	
SAMEA1707490						R		R						R	R	
SAMEA1707491						R		R						S	R	
SAMEA1707494						S		S						S	S	
SAMEA1707496						S		S						S	S	
SAMEA1707498						S		R						R	S	
SAMEA1707500						S		R						S	R	
SAMEA1707502						R		R						R	R	
SAMEA1707504						S		R						S	R	
SAMEA1707505						R		R						S	S	
SAMEA1707507						S		S						S	S	
SAMEA1707508						S		S						S	S	
SAMEA1707511						S		R						R	R	
SAMEA1707513						S		S						S	S	
SAMEA1707514						S		R						R	S	
SAMEA1707516						R		R						S	R	
SAMEA1707519						S		S						S	S	
SAMEA1707520						S		S						S	S	
SAMEA1707521						R		S						S	S	
SAMEA1707523						S		R						S	R	
SAMEA1707524						S		R						S	R	
SAMEA1707526						S		R						S	S	
SAMEA1707527						S		S						S	S	
SAMEA1707529						S		S						S	S	
SAMEA1707530						S		S						S	S	
SAMEA1707532						S		R						S	S	
SAMEA1707533						S		R						S	S	
SAMEA1707535						R		R						S	R	
SAMEA1707536						S		S						S	S	
SAMEA1707537						S		S						S	S	
SAMEA1707539						S		S						S	S	
SAMEA1707540						S		S						S	S	
SAMEA1707542						S		S						S	S	
SAMEA1707543						R		R						R	R	
SAMEA1707544						S		S						S	S	
SAMEA1707547						S		R						S	S	
SAMEA1707548						R		R						S	R	
SAMEA1707549						R		R						R	R	
SAMEA1707551						R		R						S	R	
SAMEA1707552						R		R						S	R	
SAMEA1707556						S		R						S	S	
SAMEA1707558						S		R						S	R	
SAMEA1707564						S		R						S	R	
SAMEA1707565						R		R						S	R	
SAMEA1707569						S		R						S	S	
SAMEA1707573						S		R						R	R	
SAMEA1707574						R		R						S	R	
SAMEA1707575						R		R						R	R	
SAMEA1707577						S		S						S	S	
SAMEA1707579						S		S						S	S	
SAMEA1869154						S		S						S	S	
SAMEA1869155						S		S						S	S	
SAMEA1869285						S		S						S	S	
SAMEA1869302						S		S						S	S	
SAMEA1869606						S		S						S	S	
SAMEA1876025						S		S						S	S	
SAMEA1902637						S		S						S	S	
SAMEA1902638						S		S						S	S	
SAMEA1902639						S		S						S	S	
SAMEA1902640						S		S						S	S	
SAMEA1902641						S		S						S	S	
SAMEA1902642						S		S						S	S	
SAMEA1902643						S		S						S	S	
SAMEA1906476						S		S						S	S	
SAMEA1919453						S		S						S	S	
SAMEA1919454						S		S						S	S	
SAMEA1919455														S		
SAMEA1919456						S		S						S	S	
SAMEA1919457						S		S						S	S	
SAMEA1919458						S		S						S	S	
SAMEA1919459						S		S						S	S	
SAMEA1919460						S		S						S	S	
SAMEA1919461						S		S						S	S	
SAMEA1919462						S		S						S	S	
SAMEA1919463						S		R						S	S	
SAMEA2167452						S		S						S	S	
SAMEA2296953	S	R	S			R		R	S	R				R	R	R
SAMEA2296954						S		S						S	S	S
SAMEA2296957						S		S						R	S	S
SAMEA2296958						S		S						S	S	S
SAMEA2296960						S		S						S	S	S
SAMEA2296961						S		S						S	S	S
SAMEA2296962						S		S						S	S	S
SAMEA2296963						S		S						S	S	S
SAMEA2296964						S		S						S	S	S
SAMEA2296965						S		S						S	S	S
SAMEA2296966						S		S						S	S	S
SAMEA2296967				S		S		R						S	S	R
SAMEA2296968						S		S						S	S	S
SAMEA2296969						S		S						S	S	S
SAMEA2296970						S		R						S	S	S
SAMEA2296971						S		S						S	S	S
SAMEA2296972						S		S						S	S	S
