Isolate	AMIKACIN	AMOXICILLIN	CAPREOMYCIN	CIPROFLOXACIN	CYCLOSERINE	ETHAMBUTOL	ETHIONAMIDE	ISONIAZID	KANAMYCIN	MOXIFLOXACIN	OFLOXACIN	PARA_AMINOSALICYLIC_ACID	PROTHIONAMIDE	PYRAZINAMIDE	RIFAMPICIN	STREPTOMYCIN
SAMEA1018983				S		S		R						S	S	
SAMEA1018985						S		S						S	S	
SAMEA1018987						S		S						S	S	
SAMEA1018989						S		S						S	S	
SAMEA1018990						S		S						S	S	
SAMEA1018991						S		S						S	S	S
SAMEA1018993						S		S						S	S	
SAMEA1018994						S		S						S	S	
SAMEA1018995						S		S						S	S	
SAMEA1018998						S		S						S	S	
SAMEA1018999						S		S						S	S	
SAMEA1019001						S		S						S	S	
SAMEA1019002						S		S						S	S	
SAMEA1019003						S		S						S	S	
SAMEA1019004						S		S						S	S	
SAMEA1019006						S		S						S	S	
SAMEA1019008						S		S						S	S	
SAMEA1019010						S		S						S	S	
SAMEA1019011						S		S						S	S	
SAMEA1019012						S		S						S	S	
SAMEA1019013						S		S						S	S	
SAMEA1019014						S		S						S	S	
SAMEA1019016						S		S						S	S	
SAMEA1019017						S		S						S	S	
SAMEA1019021						S		S						S	S	
SAMEA1019022						S		S						S	S	
SAMEA1019024	S		S	S		S		R						S	R	R
SAMEA1019028						S		S						S	S	
SAMEA1019029						S		S						S	S	
SAMEA1019031						S		S						S	S	
SAMEA1019032						S		S						S	S	
SAMEA1019033						S		S						S	S	
SAMEA1019034						S		S						S	S	S
SAMEA1019036						S		S						S	S	
SAMEA1019037						S		S						S	S	
SAMEA1019043						S		S						S	S	
SAMEA1019047						S		S						S	S	S
SAMEA1019048						S		S						S	S	S
SAMEA1019049						S		S						S	S	
SAMEA1019050						S		S						S	S	
SAMEA1019052						S		S						S	S	
SAMEA1019053						S		S						S	S	
SAMEA1019054						S		S						S	S	S
SAMEA1019055						S		S						S	S	
SAMEA1019056						S		S						S	S	
SAMEA1019058						S		S						S	S	
SAMEA1019062						S		S						S	S	
SAMEA1019064						S		S						S	S	
SAMEA1019065				S		S		R						S	S	
SAMEA1019066						S		S						S	S	
SAMEA1019067						S		S						S	S	
SAMEA1019068						S		S						S	S	
SAMEA1019071						S		S						S	S	
SAMEA1019075						S		S						S	S	
SAMEA1019077						S		S						S	S	
SAMEA1019080						S		S						S	S	
SAMEA1019082						S		S						S	S	
SAMEA1019084						S		S						S	S	
SAMEA1019085						S		S						S	S	
SAMEA1019088						S		R						S	S	
SAMEA1019092						S		S						S	S	
SAMEA1019093						S		S						S	S	
SAMEA1019095				R		S		R						S	S	
SAMEA1019099	S					S		R							R	R
SAMEA1019100						S		S						S	S	
SAMEA1019101						S		S						S	S	
SAMEA1019102						S		S						S	S	
SAMEA1019108						S		S						S	S	
SAMEA1019109						S		S						S	S	
SAMEA1019110						S		S						S	S	S
SAMEA1019113						S		S						S	S	
SAMEA1019119						S		S						S	S	
SAMEA1019120						S		S						S	S	
SAMEA1019121						S		S						S	S	
SAMEA1019123						S		S						S	S	
SAMEA1019126						S		S						S	S	
SAMEA1019133						S		S						S	S	
SAMEA1019134	S	R	S			S		R	S	R				S	S	R
SAMEA1019137						S		S						S	S	
SAMEA1019142						S		S						S	S	
SAMEA1019143						S		S						S	S	
SAMEA1019145						S		S						S	S	S
SAMEA1019146						S		S						S	S	
SAMEA1019150						S		S						S	S	
SAMEA1019151						S		S						S	S	
SAMEA1019154						S		S						S	S	
SAMEA1019155						S		S						S	S	S
SAMEA1019157						S		S						S	S	
SAMEA1019163						S		S						S	S	
SAMEA1019164						S		S						S	S	
SAMEA1019166						S		S						S	S	
SAMEA1019167						S		S						S	S	
SAMEA1019169						S		S						S	S	
SAMEA1019171				R		R		R						S	S	
SAMEA1019174						S		S						S	S	
SAMEA1019178						S		S						S	S	
SAMEA1019179						S		S						S	S	
SAMEA1019181						S		S						S	S	
SAMEA1019183						S		S						S	S	S
SAMEA1019184	S		S	R		R		R						R	R	
SAMEA1019185						S		S						S	S	
SAMEA1019189						S		S						S	S	
SAMEA1019192	S		S	S		S		S						S	R	S
SAMEA1019194						S		S						S	S	
SAMEA1019196						S		S						S	S	
SAMEA1019197						S		S						S	S	
SAMEA1019198						S		S						S	S	
SAMEA1019200						S		S						S	S	
SAMEA1019202						S		S						S	S	
SAMEA1019204						S		S						S	S	
SAMEA1019210						S		S						S	S	
SAMEA1019211						S		S						S	S	
SAMEA1019214						S		S						S	S	
SAMEA1019215						S		S						S	S	
SAMEA1019217	S		S	R		R		R						R	R	R
SAMEA1019219						S		S						S	S	
SAMEA1019222				S		S		R						S	S	
SAMEA1019224						S		S						S	S	
SAMEA1019228						S		S						S	S	
SAMEA1019229						S		S						S	S	
SAMEA1019233						S		S						S	S	
SAMEA1019241						S		S						S	S	
SAMEA1019244						S		S						S	S	
SAMEA1019245						S		S						S	S	
SAMEA1019246						S		S						S	S	
SAMEA1019248						S		S						S	S	
SAMEA1019249						S		S						S	S	
SAMEA1019250						S		S						S	S	
SAMEA1019251						S		S						S	S	
SAMEA1019253						S		S						S	S	
SAMEA1019256						S		S						S	S	
SAMEA1019257						S		R						S	S	
SAMEA1019258						S		S						S	S	
SAMEA1019259						S		S						S	S	
SAMEA1019263						S		S							S	
SAMEA1019265						S		S						S	S	
SAMEA1019266						S		S						S	S	
SAMEA1019267						S		S						S	S	
SAMEA1019271						S		S						S	S	
SAMEA1019272						S		S						S	S	
SAMEA1019273						S		S						S	S	
SAMEA1019274						S		S						S	S	
SAMEA1019276						S		S						S	S	
SAMEA1019281						S		S						S	S	
SAMEA1019282						S		S						S	S	
SAMEA1019285						S		S						S	S	
SAMEA1019286						S		S						S	S	
SAMEA1019288						S		S						S	S	
SAMEA1019291						S		S						S	S	
SAMEA1019293	S		S			R		R						R	R	S
SAMEA1019299						S		S						S	S	
SAMEA1019300						S		S						S	S	
SAMEA1019301						S		S						S	S	
SAMEA1019302						S		S						S	S	
SAMEA1019303						S		S						S	S	
SAMEA1019305						S		S						S	S	
SAMEA1019306						S		S						S	S	
SAMEA1019308						S		S						S	S	
SAMEA1019309						S		S						S	S	
SAMEA1019313						S		S						S	S	
SAMEA1019315						S		S						S	S	
SAMEA1019317						S		S						S	S	
SAMEA1019318						S		S						S	S	
SAMEA1019321						S		S						S	S	
SAMEA1019322						S		S						S	S	
SAMEA1019323						S		S						S	S	
SAMEA1019324						S		S						S	S	
SAMEA1019330				S		S		S						S	S	
SAMEA104172413						R		R						R	R	
SAMEA104172414						R		R						R	R	
SAMEA104172415						R		R						R	R	
SAMEA104172416						R		R						S	R	
SAMEA104172417								R						R	R	
SAMEA104172418								R						R	R	
SAMEA104172419						S		R						R	R	
SAMEA104172420						S		R						R	R	
SAMEA104172421						S		R						R	R	
SAMEA104172422						S		R						R	R	
SAMEA104172423						S		R						R	R	
SAMEA104172424						S		R						R	R	
SAMEA104172425						S		R						R	R	
SAMEA104172426						R		R						S	R	
SAMEA104172428						R		R						S	R	
SAMEA104172429						R		R						S	R	
SAMEA104172430						R		R						S	R	
SAMEA104172431						R		R						R	R	
SAMEA104172432						R		R						R	R	
SAMEA104172433						R		R						R	R	
SAMEA104172434						R		R						S	R	
SAMEA104172435						R		R						R	R	
SAMEA104172436						R		R						R	R	
SAMEA104172437						R		R						R	R	
SAMEA104172438						R		R						R	R	
SAMEA104172439						R		R						R	R	
SAMEA104172440						R		R						S	R	
SAMEA104172441						R		R						R	R	
SAMEA104172442						R		R						S	R	
SAMEA104172443								R						R	R	
SAMEA104172444						R		R						S	R	
SAMEA104172445						R		R						S	R	
SAMEA104172446						R		R						R	R	
SAMEA104172447						R		R						R	R	
SAMEA104172448						R		R						R	R	
SAMEA104172449						R		R						R	R	
SAMEA104172450						R		R						R	R	
SAMEA104172451						R		R						S	R	
SAMEA104172452						R		R						S	R	
SAMEA104172453						R		R						S	R	
SAMEA104172454						R		R						S	R	
SAMEA104172455						R		R						R	R	
SAMEA104172456						R		R						R	R	
SAMEA104172457						R		R						R	R	
SAMEA104172458						R		R						R	R	
SAMEA104172459						R		R						R	R	
SAMEA104172460						R		R						R	R	
SAMEA104172461						R		R						R	R	
SAMEA104172462						R		R						R	R	
SAMEA104172463						R		R						R	R	
SAMEA104172464						R		R						S	R	
SAMEA104172465						R		R						R	R	
SAMEA104172466						S		R						S	R	
SAMEA104172467						S		R						S	R	
SAMEA104172468						S		R						S	R	
SAMEA104172469						R		R						R	R	
SAMEA104172470						R		R						S	R	
SAMEA104172471						R		R						S	R	
SAMEA104172472						R		R						R	R	
SAMEA104172473						S		R						S	R	
SAMEA104172474						R		R						R	R	
SAMEA104172475						R		R						R	R	
SAMEA104172476						R		R						S	R	
SAMEA104172477						S		R						S	R	
SAMEA104172478						S		R						S	R	
SAMEA104172479						S		R						S	R	
SAMEA104172481						R		R						R	R	
SAMEA104172482						R		R						S	R	
SAMEA104172483						R		R						S	R	
SAMEA104172484						S		R						R	R	
SAMEA104172485						S		R						R	R	
SAMEA104172486						R		R						S	R	
SAMEA104172487						S		R						S	R	
SAMEA104172488						S		R						R	R	
SAMEA104172489						R		R						R	R	
SAMEA104172490						R		R						R	R	
SAMEA104172491						R		R						R	R	
SAMEA104172492						R		R						R	R	
SAMEA104172493						S		R						S	R	
SAMEA104172494						R		R						S	R	
SAMEA104172496						S		R						S	R	
SAMEA104172497						S		R						S	R	
SAMEA104172498						S		R						R	R	
SAMEA104172500						S		R						S	R	
SAMEA104172502						S		R						S	R	
SAMEA104172503						S		R						S	R	
SAMEA104172505						R		R						R	R	
SAMEA104172506						R		R						R	R	
SAMEA104172507						S		R						R	R	
SAMEA104172508						R		R						S	R	
SAMEA104172509						S		R						S	R	
SAMEA104172510						S		R						S	R	
SAMEA104172512						R		R						S	R	
SAMEA104172513						S		R						S	R	
SAMEA104172514						S		R						R	R	
SAMEA104172515						S		R						S	R	
SAMEA104394386						S		S						S	S	
SAMEA104394387						S		S						S	S	
SAMEA104394388						S		S						S	S	
SAMEA104394389						S		S						S	S	
SAMEA104394390						S		S						S	S	
SAMEA104394391						S		S						S	S	
SAMEA104394392						S		S							S	
SAMEA104394393						S		S						S	S	
SAMEA104394394						S		S						S	S	
SAMEA104394395						S		S						S	S	
SAMEA104394396						S		S						S	S	
SAMEA104394397						S		R						S	R	
SAMEA104394398						S		S						S	S	
SAMEA104394399						S		S						S	S	
SAMEA104394400						S		S						S	S	
SAMEA104394401						S		S							S	
SAMEA104394402						S		S						S	S	
SAMEA104394403						S		S						S	S	
SAMEA104394404						S		S							S	
SAMEA104394405						S		S						S	S	
SAMEA104394406						S		S						S	S	
SAMEA104394407						R		R						R	R	
SAMEA104394408						S		S						S	S	
SAMEA104394409						S		S						S	S	
SAMEA104394410						S		R						S	S	
SAMEA104394411						S		S						S	S	
SAMEA104394412						S		S						S	S	
SAMEA104394413						S		S						R	S	
SAMEA104394414						R		R						R	R	
SAMEA104394415						S		S							S	
SAMEA104394416						S		S						S	S	
SAMEA104394417						S		S						S	S	
SAMEA104394418						S		S						S	S	
SAMEA104394419						S		S						S	S	
SAMEA104394420						S		S						S	S	
SAMEA104394421						S		R						S	S	
SAMEA104394422						S		S						S	S	
SAMEA104394423						S		S						S	S	
SAMEA104394424						S		S						S	S	
SAMEA104394425						R		R						S	R	
SAMEA104394426						S		S						S	S	
SAMEA104394427						S		S						S	S	
SAMEA104394428						S		S						S	S	
SAMEA104394429						S		R						S	S	
SAMEA104394431						S		S							S	
SAMEA104394432						S		S						S	S	
SAMEA104394433						S		S						S	S	
SAMEA104394434						S		S						S	S	
SAMEA104394435						S		S						S	S	
SAMEA104394436						S		S							S	
SAMEA104394437						S		S						S	S	
SAMEA104394438						S		S						S	S	
SAMEA104394439						R		R						R	R	
SAMEA104394440						S		S						S	S	
SAMEA104394441						S		S						S	S	
SAMEA104394442						S		R						S	S	
SAMEA104394443						S		S						S	S	
SAMEA104394444						S		S						S	S	
SAMEA104394445						S		S						S	S	
SAMEA104394446						S		S						S	S	
SAMEA104394447						S		S						S	S	
SAMEA104394448						S		S						S	S	
SAMEA104394449						S		S						S	S	
SAMEA104394450						S		S						S	S	
SAMEA104394451						S		S						S	S	
SAMEA104394452						S		S						S	S	
SAMEA104394453						S		S							S	
SAMEA104394454						S		S						S	S	
SAMEA104394455						R		R						R	R	
SAMEA104394456						S		S						S	S	
SAMEA104394457						S		S						S	S	
SAMEA104394458						S		S						S	S	
SAMEA104394459						S		R						S	S	
SAMEA104394460						S		S							S	
